track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
FLOWER,JISOO,1,2023,3,31,839,18,232896922.0,20,110,20.0,0,69.0,124,A,Minor,84,64,39,3,0,11,4
All The Way Live SpiderMan Across the SpiderVerse,Future and Lil Uzi Vert and Metro Boomin,3,2023,6,2,259,0,37126685.0,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623.0,116,69,107.0,3,675.0,107,D,Major,78,39,53,30,0,11,6
Escapism,RAYE and 070 Shake,2,2022,10,12,5129,25,532336353.0,116,84,114.0,18,348.0,96,D,Major,54,25,74,14,0,9,11
La Jumpa,Arcangel and Bad Bunny,2,2022,11,30,3794,34,538115192.0,47,77,53.0,10,8.0,123,G#,Major,71,58,70,30,0,32,19
Karma feat Ice Spice,Taylor Swift and Ice Spice,2,2023,5,26,588,0,46142772.0,23,21,31.0,0,0.0,90,G#,Major,62,7,62,6,0,58,6
Superhero Heroes  Villains with Future  Chris Bro,Future and Chris Brown and Metro Boomin,3,2022,12,2,2959,16,401036314.0,41,69,38.0,0,36.0,117,F,Minor,72,45,59,14,0,20,21
Las Morras,BLESSD and Peso Pluma,2,2023,4,4,291,8,127026613.0,8,78,4.0,1,1.0,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710.0,29,65,34.0,5,3.0,96,G#,Minor,74,61,83,11,0,35,6
Ch y la Pizza,Fuerza Regida and Natanael Cano,2,2022,12,1,536,10,288101651.0,10,72,8.0,3,14.0,149,G#,Major,66,85,60,40,0,14,13
Snow On The Beach feat More Lana Del Rey,Lana Del Rey and Taylor Swift,2,2023,5,26,359,2,60350538.0,1,0,9.0,0,0.0,110,F#,Minor,66,32,40,81,0,11,3
Players,Coi Leray,1,2022,11,30,4096,6,335074782.0,118,48,143.0,0,240.0,105,F#,Major,95,62,52,3,0,5,16
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5.0,0,56.0,105,C#,Major,80,69,78,28,0,11,14
Stand By Me feat Morgan Wallen,Lil Durk and Morgan Wallen,2,2023,5,26,381,5,46065667.0,23,82,6.0,0,113.0,134,B,Major,76,61,58,6,0,16,3
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45.0,5,6.0,170,E,Minor,71,59,56,4,0,27,12
Hummingbird Metro Boomin  James Blake,James Blake and Metro Boomin,2,2023,6,2,277,1,39666245.0,1,20,5.0,0,1.0,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu  Ao Vivo,Israel & Rodolffo and Mari Fernandez,2,2023,3,1,967,5,138517666.0,7,29,51.0,1,29.0,154,F#,Major,63,75,92,31,0,91,5
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131.0,16,29.0,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742.0,215,88,330.0,26,23.0,115,G,Major,78,64,69,4,0,7,14
Lilith feat SUGA of BTS Diablo IV Anthem,Halsey and Suga,2,2023,6,5,215,6,51985779.0,6,14,8.0,2,4.0,84,A,Minor,43,14,74,1,0,19,8
,Nicky Jam and Feid,2,2023,5,18,1134,22,57945987.0,39,14,48.0,2,3.0,93,G#,Major,79,58,62,11,0,11,23
Nia Bo,Sean Paul and Feid,2,2023,4,21,1305,34,115010040.0,29,26,43.0,5,44.0,91,G,Major,82,47,62,10,0,10,15
Search  Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43.0,0,182.0,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM feat Kendrick Lamar,Kendrick Lamar and Beyoncï¿,2,2023,5,19,896,0,57089066.0,34,2,33.0,0,1.0,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38.0,10,1.0,97,A#,Major,73,10,44,26,0,16,8
Link Up Metro Boomin  Don Toliver Wizkid feat BEA,WizKid and Toian and Metro Boomin and Don Toliver,5,2023,6,2,197,0,32761689.0,3,10,3.0,0,0.0,101,F,Major,92,59,51,41,51,26,8
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43.0,6,2.0,98,G,Minor,80,23,48,14,0,6,5
Erro Gostoso  Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76.0,2,49.0,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63.0,4,54.0,120,A,Major,91,63,58,52,0,31,22
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47.0,0,0.0,150,B,Major,49,4,55,7,0,6,3
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154.0,20,438.0,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,Drake and 21 Savage,2,2022,11,4,4657,18,573633020.0,84,84,42.0,0,23.0,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657.0,22,9.0,142,F,Major,60,13,37,58,0,13,3
Carto B,MC Caverinha and KayBlack,2,2023,5,11,269,4,71573339.0,7,2,30.0,1,11.0,108,A,Minor,84,55,47,26,0,20,64
Danger Spider Offset  JID,Offset and JID,2,2023,6,2,214,0,24975653.0,3,3,6.0,0,0.0,143,B,Major,83,25,69,4,0,23,12
Oi Balde  Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47.0,1,33.0,108,D,Major,67,55,67,60,0,80,5
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,,1,17.0,104,F,Minor,95,78,66,3,0,4,6
MERCHO,Migrantes and LiL CaKe and Nico Valdi,3,2022,12,16,1267,20,231332117.0,41,22,56.0,4,84.0,93,F#,Minor,84,96,79,43,0,18,11
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21.0,1,54.0,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158.0,3,31.0,170,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,Mambo Kingz and DJ Luian and Anuel Aa,3,2023,5,4,675,1,50847624.0,9,13,11.0,0,1.0,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27.0,0,50.0,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN feat Nile Rodgers,Nile Rodgers and LE SSERAFIM,2,2023,5,1,327,13,92035115.0,14,110,9.0,0,49.0,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10.0,2,9.0,85,G,Major,70,83,84,31,0,47,30
Conexes de Mfia feat Rich ,Rich The Kid and Matuï¿,2,2023,4,30,385,4,77233241.0,17,7,41.0,1,29.0,117,F#,Minor,77,69,58,39,0,26,5
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51.0,0,20.0,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,Karol G and Romeo Santos,2,2023,2,2,2127,33,266624541.0,45,80,53.0,8,4.0,178,C#,Minor,79,58,78,34,0,11,25
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48.0,0,6.0,148,A,Major,51,27,33,48,0,22,3
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30.0,0,320.0,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7.0,0,55.0,122,E,Minor,68,38,88,1,0,8,5
Cupid  Twin Ver FIFTY FIFTY  Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6.0,0,0.0,144,F,Major,74,75,73,42,0,9,4
Shorty Party,Cartel De Santa and La Kelly,2,2023,3,4,432,12,162887075.0,8,14,12.0,2,33.0,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9.0,0,55.0,137,G#,Major,77,35,88,16,0,17,9
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13.0,0,4.0,121,F#,Minor,94,71,61,12,0,53,42
Double Fantasy with Future,The Weeknd and Future,2,2023,4,21,1169,0,96180277.0,36,65,28.0,0,0.0,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19.0,0,5.0,96,D,Major,72,40,47,71,0,13,4
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147.0,11,20.0,111,C#,Major,87,53,52,66,1,11,5
Princess Diana with Nicki Minaj,Nicki Minaj and Ice Spice,2,2023,4,14,1444,4,104992946.0,0,0,0.0,0,0.0,148,A,Major,90,74,68,14,0,10,19
Di Que Si,Grupo Marca Registrada and Grupo Frontera,2,2023,2,3,356,10,147290338.0,4,64,4.0,2,37.0,182,A,Major,57,80,59,8,0,6,5
Igualito a Mi Ap,Fuerza Regida and Peso Pluma,2,2022,12,30,265,6,158950978.0,8,84,5.0,1,4.0,145,E,Minor,76,80,81,19,0,6,9
Shoong feat LISA of BLACKPINK,TAEYANG and Lisa,2,2023,4,25,351,9,76910644.0,16,90,10.0,0,64.0,110,B,Minor,76,26,70,1,0,41,6
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1.0,1,18.0,134,G,Major,70,35,41,41,0,10,3
DESPECH,ROSALï¿½,1,2022,7,28,7613,33,782369383.0,180,90,422.0,15,55.0,130,G,Major,92,78,62,18,0,6,10
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127.0,3,16.0,145,A#,Major,84,88,53,35,0,8,7
Watch This  ARIZONATEARS Pluggnb Remix,sped up nightcore and ARIZONATEARS and Lil Uzi Ve,3,2023,2,5,1638,10,207033255.0,0,0,21.0,0,0.0,130,B,Minor,69,36,90,1,10,15,4
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37.0,5,1.0,92,B,Minor,75,55,76,25,0,10,15
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36.0,1,37.0,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24.0,0,30.0,175,G,Minor,59,15,64,43,90,12,10
Mami Chula,Quevedo and Jhayco,2,2023,4,27,875,4,61105704.0,17,13,27.0,0,43.0,120,G,Minor,80,33,70,22,0,9,4
En Paris,El Chachito and Junior H,2,2022,12,24,406,5,198275403.0,3,31,2.0,1,0.0,139,D#,Minor,70,77,48,37,0,12,5
I Was Never There,The Weeknd and Gesaffelstein,2,2018,3,29,4188,15,705469769.0,30,70,142.0,0,27.0,114,A#,Major,32,17,74,14,0,17,3
Dont ever say love me feat RM of BTS,RM and Colde,2,2023,5,4,105,0,34502215.0,5,9,5.0,0,0.0,145,B,Minor,54,19,48,36,0,37,5
Gato de Noche,Nengo Flow and Bad Bunny,2,2022,12,22,2651,30,304118600.0,21,55,32.0,3,0.0,94,G#,Major,89,61,66,17,0,36,16
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801.0,1,105.0,134,C#,Major,45,17,60,21,0,33,4
Like Crazy English Version,Jimin,1,2023,3,24,373,19,173627354.0,4,72,5.0,0,5.0,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,Jasiel Nuï¿½ï¿½ez and Peso P,2,2023,2,2,200,4,90025258.0,8,77,2.0,1,1.0,123,G,Minor,70,86,68,24,0,11,4
Sunroof,Nicky Youre and Dazy,2,2021,12,3,3741,17,652704649.0,156,35,110.0,19,0.0,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself  Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,,1,51.0,171,D,Major,70,6,73,1,0,36,26
Superman,Eminem and Dina Rae,2,2002,5,26,7615,14,655466831.0,18,51,,0,0.0,130,E,Minor,80,64,76,2,0,20,6
Mas Rica Que Ayer,Mambo Kingz and DJ Luian and Anuel Aa,3,2023,3,2,1208,34,146409671.0,10,41,20.0,0,1.0,94,B,Major,82,53,67,34,0,9,8
People Pt feat IU,IU and Agust D,2,2023,4,7,209,4,95816024.0,4,45,11.0,2,24.0,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15.0,0,6.0,87,F,Minor,65,71,56,4,0,15,20
Arcngel Bzrp Music Sessions Vol,Arcangel and Bizarrap,2,2023,3,22,654,3,100409613.0,11,3,18.0,1,1.0,124,B,Minor,72,79,78,55,0,15,30
DOGTOOTH,Tyler and The Creator,2,2023,3,27,1479,0,80758350.0,23,0,18.0,0,33.0,78,G#,Major,71,80,65,51,0,22,32
,Tiï¿½ï¿½sto and Tate M,2,2022,11,1,4942,26,325592432.0,190,104,147.0,18,63.0,120,G#,Major,70,70,79,7,0,18,10
SORRY NOT SORRY,Tyler and The Creator,2,2023,3,31,709,0,58473276.0,8,1,13.0,0,0.0,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11.0,0,78.0,106,G,Major,73,22,86,31,0,12,4
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5.0,1,2.0,170,D,Minor,78,75,46,62,0,12,35
I Know  PRSVX Edit,Kanii and PR1ISVX,2,2023,3,24,407,0,77377503.0,16,15,5.0,0,1.0,134,B,Minor,67,11,76,8,47,30,7
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199.0,16,58.0,115,A#,Major,71,90,73,30,0,11,5
Le,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88.0,1,28.0,130,F#,Major,74,79,87,45,0,30,3
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46.0,16,117.0,110,G,Major,59,22,38,42,0,12,3
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12.0,0,52.0,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,Fuerza Regida and Chino Pacas,2,2023,3,14,320,6,116334601.0,5,48,2.0,1,9.0,142,G,Minor,70,76,79,26,0,11,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66.0,9,444.0,116,G,Major,90,96,73,62,0,9,4
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9.0,0,14.0,120,A,Major,73,64,85,25,0,61,3
LA INOCENTE,Feid and Mora,2,2022,4,1,2598,37,477033549.0,28,57,43.0,8,85.0,92,F,Minor,76,46,79,31,0,7,6
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21.0,0,0.0,110,G#,Minor,81,64,79,5,0,31,3
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50.0,0,22.0,120,A#,Major,71,57,97,1,0,13,11
CAIRO,Karol G and Ovy On The Drums,2,2022,11,13,2418,26,294352144.0,52,66,55.0,1,16.0,115,F,Minor,95,43,69,47,0,9,31
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135.0,0,6.0,76,A#,Major,58,46,67,65,0,13,4
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181.0,0,10.0,172,F#,Major,60,77,78,45,0,12,6
Say You Wont Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,,0,13.0,99,A#,Major,40,45,56,69,0,9,5
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.0,27,27,29.0,1,1.0,150,G#,Minor,90,64,14,67,35,11,10
Peaches from The Super Mario Bros Movie,Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0.0,0,0.0,92,A#,Minor,71,41,31,79,0,10,5
Marisola  Remix,Duki and NICKI NICOLE and Cris Mj and Standly and,5,2022,12,15,1845,16,223582566.0,20,8,30.0,2,0.0,95,C#,Major,77,72,87,17,0,7,5
LOKERA,Brray and Rauw Alejandro and Lyanno,3,2022,7,25,3301,30,471819764.0,72,64,64.0,6,3.0,102,B,Minor,83,58,83,21,0,10,5
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,0,,0,0.0,110,A,Major,50,24,86,0,0,64,4
on the street with J Cole,j-hope and J. Cole,2,2023,3,3,615,2,116599790.0,22,82,8.0,0,9.0,94,B,Minor,68,81,82,53,0,9,13
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5.0,0,21.0,142,G,Major,61,92,91,0,0,26,3
Miss You,Robin Schulz and Oliver Tree,2,2022,8,5,5730,10,497225336.0,108,16,197.0,3,165.0,145,F#,Minor,59,20,74,1,0,15,5
Aint Tha,Morgan Wallen,1,2023,3,3,356,4,88791109.0,4,20,0.0,0,0.0,121,F#,Minor,64,67,80,0,0,36,3
Thinkin B,Morgan Wallen,1,2023,3,3,604,6,125917280.0,22,101,0.0,0,66.0,140,D#,Minor,66,43,76,49,0,12,3
Private Landing feat Justin Bieber  Future,Don Toliver and Future and Justin Bieber,3,2023,2,23,1190,0,105062254.0,29,3,18.0,0,19.0,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148.0,11,54,0.0,0,103.0,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800.0,61,6,48.0,0,150.0,92,F,Major,57,68,76,7,0,33,3
LET GO,Central Cee,1,2022,12,15,2301,20,298063749.0,49,23,110.0,0,8.0,146,D,Minor,74,51,45,86,0,21,38
Sial,Mahalini,1,2023,1,23,134,4,166570053.0,4,6,0.0,0,23.0,120,D,Major,56,20,43,89,0,12,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468.0,15,17,0.0,0,0.0,144,D,Major,68,83,81,9,0,8,4
Apna Bana Le From Bhediya,Arijit Singh and Sachin-Jigar,2,2022,11,5,86,0,139836056.0,11,101,0.0,0,48.0,94,A,Major,59,44,56,80,0,6,3
SPIT IN MY FACE,ThxSoMch,1,2022,10,31,629,14,303216294.0,32,3,9.0,0,0.0,94,G#,Major,73,65,79,5,2,11,6
PLAYA DEL INGL,Myke Towers and Quevedo,2,2022,12,15,1701,15,221409663.0,30,15,34.0,2,47.0,113,G,Minor,79,66,74,8,0,11,5
Man Made A Bar feat Eric Church,Morgan Wallen and Eric Church,2,2023,3,3,329,0,58890931.0,14,35,1.0,0,0.0,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389.0,45,11,20.0,0,21.0,98,C#,Major,70,29,73,12,0,11,26
Kahani Suno ,Kaifi Khalil,1,2022,5,31,162,6,156777415.0,1,10,1.0,0,1.0,140,B,Major,58,26,38,91,0,10,4
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316.0,59,100,58.0,13,2.0,100,G,Major,36,28,28,81,0,18,3
PERO T,Karol G and Quevedo,2,2023,2,23,387,11,93438910.0,11,15,14.0,3,1.0,140,F#,Major,86,68,79,39,0,11,29
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647.0,20,119,12.0,2,7.0,100,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382.0,66,26,277.0,3,734.0,100,A,Minor,59,49,65,2,0,13,3
 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272.0,6,15,0.0,0,0.0,142,D,Major,49,48,67,10,0,26,3
WANDA,Quevedo,1,2023,1,20,888,22,175399345.0,11,24,7.0,1,7.0,176,E,Minor,72,96,63,25,0,21,7
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468.0,16,53,1.0,0,61.0,140,F#,Major,53,51,70,49,0,14,3
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576.0,63,0,,2,0.0,105,D#,Minor,55,40,90,1,0,32,6
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498.0,20,1,71.0,2,0.0,135,F,Major,81,97,77,75,0,35,3
Lovezinho,Treyce,1,2022,7,28,242,0,70069745.0,12,2,13.0,0,4.0,128,E,Minor,82,61,59,30,0,12,4
I Like You A Happier Song with Doja Cat,Post Malone and Doja Cat,2,2022,6,3,5281,14,609293408.0,94,21,80.0,15,38.0,101,F,Major,74,43,69,12,0,12,7
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962.0,20,64,35.0,6,0.0,122,A#,Major,88,43,50,7,0,14,5
Sem Aliana no ,MC Xenon and Os Gemeos da Putaria,2,2022,12,23,454,4,93587665.0,6,1,21.0,0,1.0,83,C#,Major,53,40,36,73,0,11,33
Enemy with JID  from the series Arcane League of ,Imagine Dragons and League of Legends and JID and,4,2021,9,3,6180,7,1223481149.0,122,88,580.0,21,10.0,77,B,Minor,72,59,76,24,0,42,28
Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230.0,7,0,203.0,0,2.0,140,B,Minor,75,18,25,78,0,11,26
Bombonzinho  Ao Vivo,Israel & Rodolffo and Ana Castela,2,2022,11,3,1254,6,263453310.0,26,69,73.0,2,6.0,158,C#,Major,65,72,95,31,0,92,5
LA CANCI,J Balvin and Bad Bunny,2,2019,6,28,6398,31,1435127549.0,177,109,305.0,3,5.0,176,G,Major,75,43,65,15,0,11,32
Qu Ago,Yuridia and Angela Aguilar,2,2022,10,20,660,15,236857112.0,19,59,18.0,5,52.0,98,B,Major,73,88,57,56,0,5,2
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971.0,57,4,48.0,0,0.0,107,B,Minor,66,47,40,72,0,11,3
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140.0,45,115,218.0,1,221.0,109,F,Minor,66,16,57,10,1,12,3
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473.0,0,0,25.0,0,0.0,109,A#,Minor,84,72,74,10,0,34,7
,Fujii Kaze,1,2020,5,20,685,14,403097450.0,24,94,9.0,0,23.0,158,F#,Minor,60,52,76,17,0,19,5
Besos Moja,Wisin & Yandel and ROSALï¿½,2,2022,9,29,2460,13,309483971.0,53,7,56.0,3,1.0,94,F,Minor,74,64,73,6,0,10,6
Maan Meri Jaan,King,1,2022,10,12,288,6,319566866.0,11,80,1.0,0,8.0,96,F#,Minor,70,40,51,35,0,10,4
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996.0,74,113,85.0,9,2.0,100,F,Minor,80,29,67,29,0,12,3
My Universe,Coldplay and BTS,2,2021,9,24,6127,13,1061966512.0,0,0,0.0,0,0.0,105,A,Major,58,42,68,1,0,14,4
LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687.0,105,41,114.0,1,59.0,170,F#,Minor,56,56,63,13,0,19,27
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790.0,88,24,101.0,7,451.0,122,G#,Major,64,25,89,0,0,15,9
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721.0,23,95,11.0,0,3.0,105,A#,Minor,88,82,80,8,0,11,8
Boys a liar,PinkPantheress,1,2022,11,30,1225,0,156338624.0,27,0,28.0,13,0.0,133,F,Major,66,74,84,25,0,21,4
Shirt,SZA,1,2022,10,28,3469,0,309653982.0,71,95,31.0,0,2.0,120,D#,Minor,82,55,45,15,3,9,10
Lift Me Up  From Black Panther Wakanda Forever  M,Rihanna,1,2022,10,28,3311,0,297328960.0,129,31,212.0,1,41.0,177,A,Major,25,17,30,90,0,13,3
STAR WALKIN League of Legends Worlds Anthem,Lil Nas X,1,2022,9,22,2616,0,332506354.0,113,17,208.0,0,192.0,142,D,Minor,64,31,72,15,0,9,5
Sex Drugs Etc,Beach Weather,1,2016,11,4,3006,16,480507035.0,47,60,87.0,12,124.0,144,E,Minor,57,47,84,1,1,52,4
Boy With Luv feat Halsey,Halsey and BTS,2,2019,4,12,4260,0,1065580332.0,113,92,259.0,0,1.0,120,B,Minor,65,80,86,9,0,19,10
Hey Mickey,Baby Tate,1,2016,9,27,482,0,122763672.0,9,1,12.0,4,3.0,135,D,Major,92,73,51,55,0,15,6
Jhoome Jo Pathaan,Arijit Singh and Vishal Dadlani and Sukriti Kakar,6,2022,12,22,138,4,1365184.0,13,78,2.0,0,0.0,105,G,Major,82,62,74,10,0,33,7
Escapism  Sped Up,RAYE and 070 Shake,2,2022,11,25,1368,0,184308753.0,12,1,11.0,0,8.0,108,F#,Minor,44,38,77,9,0,9,20
Te Felicito,Shakira and Rauw Alejandro,2,2022,4,21,4796,9,606361689.0,124,66,212.0,13,1.0,174,F,Major,70,57,64,23,0,8,32
Mu,Steve Aoki and Tini and La Joaqui,3,2023,1,12,658,6,120972253.0,33,7,53.0,2,0.0,90,A#,Minor,68,83,71,3,0,31,8
TV,Billie Eilish,1,2022,7,21,3009,2,338564981.0,68,89,65.0,0,25.0,141,E,Minor,41,9,25,84,1,14,4
Im Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953.0,136,24,,0,30.0,82,F,Major,68,50,49,56,0,8,4
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902.0,82,1,231.0,0,2.0,92,F,Major,47,25,43,62,0,32,3
Besharam Rang From Pathaan,Vishal-Shekhar and Shilpa Rao and Caralisa Montei,6,2022,12,12,130,4,140187018.0,21,79,2.0,0,0.0,116,G#,Minor,77,65,80,6,0,15,4
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809.0,12,56,13.0,0,13.0,125,A#,Minor,71,83,89,1,0,17,9
WAIT FOR U feat Drake  Tems,Drake and Future and Tems,3,2022,4,27,5491,14,556585270.0,128,84,75.0,0,35.0,83,C#,Major,46,34,64,31,0,7,34
Dont Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973.0,532,77,,3,8.0,124,B,Minor,79,68,79,1,0,10,8
After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885.0,1,9,3.0,0,0.0,140,G#,Major,58,4,60,7,41,8,3
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,8,872137015.0,78,21,240.0,1,52.0,186,E,Minor,41,9,61,2,0,12,5
Atlantis,Seafret,1,2015,4,22,3045,6,571386359.0,43,53,134.0,1,32.0,166,G#,Minor,40,23,48,5,0,12,3
Evoque Prata,DJ Escobar and MC MENOR SG and MC MENOR HR,3,2022,9,9,852,0,174006928.0,14,1,50.0,0,0.0,87,G,Major,87,52,52,31,0,28,24
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823.0,72,97,58.0,0,154.0,82,G#,Major,40,39,64,21,0,7,7
Blind,SZA,1,2022,12,9,1484,0,163284000.0,22,51,12.0,0,0.0,114,A,Minor,46,60,28,91,0,21,4
Die For You,Joji,1,2022,11,4,1703,0,246390068.0,38,45,36.0,16,0.0,148,G#,Major,47,15,52,38,13,29,5
Doja,Central Cee,1,2022,7,20,4169,44,482257456.0,57,44,183.0,1,11.0,140,F#,Major,91,97,57,38,0,40,29
Gatita,Bellakath,1,2022,10,3,1054,0,168684524.0,9,0,15.0,0,1.0,101,G,Major,90,76,81,15,24,33,6
Rumble,Skrillex and Flowdan and Fred again..,3,2022,1,17,2849,0,78489819.0,39,45,27.0,0,1.0,140,C#,Minor,81,6,84,5,23,6,6
